,Date,riskfree,activity,MA1M,actualreturn
211,2017-07-31,1.24,-5.855043977409743e-06,-6.48,-6.48
212,2017-08-31,1.27,-5.564987764278435e-07,19.77,19.77
213,2017-09-30,1.27,1.17282379067871e-06,4.49,4.49
214,2017-10-31,1.26,9.050362986907895e-07,-1.36,-1.36
215,2017-11-30,1.53,3.5884901502698677e-06,5.28,5.28
216,2017-12-31,1.58,-3.0820277656310685e-06,-14.15,-14.15
217,2018-01-31,1.54,-2.8914617404783194e-06,2.48,2.48
218,2018-02-28,1.51,-6.729754761602656e-06,-0.36,-0.36
219,2018-03-31,1.54,6.685640005908984e-07,2.68,2.68
220,2018-04-30,1.51,2.0777212589655086e-06,7.12,7.12
221,2018-05-31,1.55,1.3995694167996808e-06,13.51,13.51
222,2018-06-30,1.57,5.251671389604577e-06,-7.92,-7.92
223,2018-07-31,1.52,-3.481823788092687e-06,-3.26,-3.26
224,2018-08-31,1.55,-3.144071866936947e-06,8.65,8.65
225,2018-09-30,1.65,2.753637188926757e-06,0.46,0.46
226,2018-10-31,1.57,-3.43581427967736e-06,-19.03,-19.03
227,2018-11-30,1.76,-3.387755309802928e-06,12.46,12.46
228,2018-12-31,1.89,1.883227572655119e-06,3.71,3.71
229,2019-01-31,1.81,1.4733810582968142e-06,1.6,1.6
230,2019-02-28,1.8,2.3647904421593744e-06,-1.33,-1.33
231,2019-03-31,1.81,-2.6648862850486483e-06,1.11,1.11
232,2019-04-30,1.79,-1.4878320902729588e-06,-0.24,-0.24
233,2019-05-31,1.79,-2.436580756153546e-07,-5.85,-5.85
234,2019-06-30,1.83,2.0376473184983104e-06,2.03,2.03
235,2019-07-31,1.56,-3.2156973503980783e-06,-5.1,-5.1
236,2019-08-31,1.54,-2.754881062942975e-06,-2.01,-2.01
237,2019-09-30,1.58,2.6506964967320595e-06,-1.5,-1.5
238,2019-10-31,1.29,-7.685047694944831e-06,-2.08,-2.08
239,2019-11-30,1.28,3.965015589729501e-06,0.56,0.56
240,2019-12-31,1.39,-1.8498386576046115e-07,2.37,2.37
241,2020-01-31,1.25,-2.0210179081619527e-06,-3.41,-3.41
242,2020-02-29,1.26,-4.637634423668637e-06,-5.16,-5.16
243,2020-03-31,0.8,-7.264426097973887e-07,-31.18,-31.18
244,2020-04-30,0.76,1.6388952892985027e-06,22.5,22.5
245,2020-05-31,0.49,-2.5879914628203808e-08,12.06,12.06
246,2020-06-30,0.57,-5.546917934532952e-06,-9.6,-9.6
247,2020-07-31,0.51,-3.950845915699167e-06,-3.48,-3.48
248,2020-08-31,0.55,7.372056629998081e-08,32.64,32.64
249,2020-09-30,0.55,4.32640346748833e-07,24.16,24.16
250,2020-10-31,0.52,-1.0217985904929992e-07,17.07,17.07
251,2020-11-30,0.6,8.123781657400293e-07,11.38,11.38
252,2020-12-31,0.61,1.214707853136519e-06,7.58,7.58
253,2021-01-31,0.52,3.297310439387715e-06,-2.41,-2.41
254,2021-02-28,0.59,-7.799350418076692e-07,12.03,12.03
255,2021-03-31,0.59,-1.83031819269565e-07,41.67,41.67
256,2021-04-30,0.49,-2.047983881598441e-07,-21.6,-21.6
257,2021-05-31,0.51,9.960674088890555e-07,1.18,1.18
258,2021-06-30,0.63,5.208673684113366e-06,20.97,20.97
