,Date,riskfree,kospi200,professionalism,pbr,activity,actualreturn,mktcap
233,2019-05-31,1.79,-7.38,2052.523263133284,0.46873,-1.2148179171009881e-05,-11.68,55603.0
234,2019-06-30,1.83,4.84,22643.53588473002,0.57623,-2.469325289512011e-07,15.31,54689.0
235,2019-07-31,1.56,-4.02,36291.05777566841,0.54524,-2.0300968910973106e-06,-5.38,63210.0
236,2019-08-31,1.54,-3.7,93217.57654186686,0.57623,-2.018258684160945e-06,-8.18,66186.0
237,2019-09-30,1.58,5.62,6084.430777875893,0.60044,1.3664089393706797e-05,4.2,62285.0
238,2019-10-31,1.29,0.83,3771.9688650710154,0.54815,1.0160244960397198e-05,-8.71,60832.0
239,2019-11-30,1.28,-0.28,3473.1915858287643,0.53652,1.1452367021594592e-05,-3.48,56904.0
240,2019-12-31,1.39,6.14,4106.927442567751,0.53265,1.339357156611537e-05,-0.72,55239.0
241,2020-01-31,1.25,-3.15,2447.9345292772105,0.63695,-1.0436917779006533e-06,-13.27,55521.0
242,2020-02-29,1.26,-8.45,5497.635633249459,0.52612,-1.702091751521849e-06,-18.76,45306.0
243,2020-03-31,0.8,-11.64,12397.385446257515,0.3365,4.011139227202828e-07,-36.04,30274.0
244,2020-04-30,0.76,10.42,7015.817233916978,0.39259,-1.0036061692873273e-05,20.0,30498.0
245,2020-05-31,0.49,3.94,20130.497761170984,0.48339,-2.25144337525065e-06,23.13,32383.0
246,2020-06-30,0.57,4.39,46958.245568976476,0.45802,-3.6432400204669844e-07,-5.25,39325.0
247,2020-07-31,0.51,6.87,6710.524159172785,0.46336,-5.690674305652431e-06,1.17,36363.0
248,2020-08-31,0.55,2.61,7782.7454447857335,0.44867,-3.3355199413178393e-06,-3.17,33533.0
249,2020-09-30,0.55,-0.9,4181.854797614222,0.44467,2.5973504196921654e-06,0.3,34538.0
250,2020-10-31,0.52,-2.53,48577.76140879137,0.47939,-2.0424492504137246e-07,7.81,40517.0
251,2020-11-30,0.6,14.74,2922.7044129058095,0.50209,6.566712121362057e-06,4.74,39951.0
252,2020-12-31,0.61,12.5,2369.618784091511,0.46737,-7.187738777608063e-06,-6.91,37766.0
253,2021-01-31,0.52,6.11,2415.316030492487,0.66542,-1.813656161632424e-06,0.0,36468.0
254,2021-02-28,0.59,-3.94,2601.007832037154,0.64064,2.0761119791056617e-06,-7.95,36389.0
255,2021-03-31,0.59,1.25,2701.67330710178,0.73406,5.749701627752105e-07,14.58,36343.0
256,2021-04-30,0.49,1.38,3420.4220255269206,0.70928,3.165509929539671e-06,-2.11,40898.0
257,2021-05-31,0.51,1.31,5135.015844906328,0.82558,9.850941536271683e-06,16.4,42916.0
258,2021-06-30,0.63,3.03,31964.710767329052,1.03532,6.762684491708121e-07,25.12,53393.0
259,2021-07-31,0.58,-3.4,7363.831587177482,1.00672,4.33218779744746e-06,-2.76,57555.0
260,2021-08-31,0.9,-0.97,19623.09084392538,1.20119,8.294434885633859e-07,19.32,57197.0
261,2021-09-30,0.92,-2.48,18318.04176991699,1.13255,3.226887763099449e-06,-6.46,64568.0
262,2021-10-31,0.76,-2.9,4000.8672453364165,1.06391,3.963606685537982e-06,-8.07,57949.0
263,2021-11-30,1.067,-3.92,6984.317210471662,0.81414,-1.0003230354548666e-06,-23.48,54891.0
264,2021-12-31,1.437,5.61,4692.243169173707,0.8599,-8.284294759371444e-06,5.62,48530.0
265,2022-01-31,1.277,-10.77,2842.0795190250255,0.66924,-7.463703359162837e-06,-20.59,42996.0
266,2022-02-28,1.39,0.99,2620.6156772038034,0.69021,-7.733895965048042e-06,3.13,38910.0
267,2022-03-31,1.454,1.13,3061.3356593175463,0.82749,-3.922522705641616e-06,19.89,40413.0
268,2022-04-30,1.53,-2.39,3104.7243442860004,0.83321,3.965169914713259e-06,-0.23,44951.0
269,2022-05-31,1.863,-0.15,3489.2395067473244,0.77792,-3.578870330516883e-06,-6.64,42980.0
270,2022-06-30,2.337,-12.85,2581.8973230656397,0.72453,-1.618111880333657e-06,-5.47,38178.0
271,2022-07-31,2.341,3.34,5224.447463272763,0.75885,-1.0999940506294997e-06,4.46,40229.0
