,Month,Rm,Rf,Rm-Rf,SMB,HML,AMI,PMI
155,2012-11-30,0.9554804800371812,2.77,-1.8145195199628188,-1.77,-1.02,-3.1981763005610873,-1.051490136435575
156,2012-12-31,5.150272468809106,2.77,2.3802724688091064,-5.41,4.49,-5.464074492581872,-5.178400662431756
157,2013-01-31,-1.1979113279750635,2.76,-3.9579113279750633,5.32,4.09,1.579451900391689,1.6705654489367134
158,2013-02-28,3.9249411100942524,2.76,1.1649411100942526,0.92,-1.75,2.8579950156302516,-0.8117899072186816
159,2013-03-31,-0.5997228555352763,2.75,-3.3497228555352763,5.98,0.9,2.916650844135731,2.3456056651596953
160,2013-04-30,-3.6734377083588896,2.78,-6.453437708358889,7.81,2.18,10.959358404532395,4.5881331410732145
161,2013-05-31,2.0860854388500343,2.5,-0.4139145611499657,1.46,-1.34,3.088672043851119,-4.091696183296406
162,2013-06-30,-7.268222086279181,2.5,-9.76822208627918,-5.05,0.92,-7.024274757213263,2.1586271628872566
163,2013-07-31,3.5452185947504518,2.53,1.015218594750452,2.02,2.3,5.268527976201668,-1.8526006686967804
164,2013-08-31,0.09385076345699872,2.51,-2.416149236543001,-3.15,1.79,-2.854503171649938,0.43751641682388254
165,2013-09-30,3.7682084827772115,2.5,1.2682084827772115,-1.48,1.37,0.24403175735838545,-2.962686206556569
166,2013-10-31,1.52072805618333,2.52,-0.99927194381667,-2.52,-1.35,-2.6640676052283823,1.8792549317721097
167,2013-11-30,0.4615787154801154,2.5,-2.0384212845198846,-2.64,1.22,-5.800224519160594,-1.5100073429578913
168,2013-12-31,-1.1727019604801114,2.52,-3.6927019604801115,-2.31,3.76,-1.3868795555265905,-0.7268758503730766
169,2014-01-31,-2.81362455243341,2.51,-5.32362455243341,6.25,0.08,2.921584964923241,-0.4537558349947517
170,2014-02-28,2.303662190977178,2.49,-0.18633780902282204,2.3,1.63,1.6934089962918648,0.18731175692063573
171,2014-03-31,0.9214970504025359,2.49,-1.5685029495974643,3.56,0.63,2.453422611928417,-3.80496468932391
172,2014-04-30,-0.8895354056923566,2.5,-3.3895354056923566,3.71,1.12,5.872626829371669,1.0779753605196163
173,2014-05-31,1.3666403212402827,2.49,-1.1233596787597175,-0.41,0.32,-1.9957629296853838,2.196528957224345
174,2014-06-30,0.1124101663885142,2.49,-2.377589833611486,-1.55,3.07,-3.265812434088545,1.265143573763865
175,2014-07-31,3.6169414807427813,2.49,1.126941480742781,-1.98,5.8,-3.3985864857743735,-1.736452570893519
176,2014-08-31,0.3165619643165769,2.24,-1.9234380356834233,2.31,2.3,5.126517553508833,-1.319998077327753
177,2014-09-30,-2.026664147976902,2.24,-4.266664147976902,3.91,-2.19,4.069807843920017,0.8396458759026473
178,2014-10-31,-2.363480473099571,1.97,-4.333480473099571,0.73,-1.69,8.121197815026164,-1.1691803694200331
179,2014-11-30,0.715800572598198,1.99,-1.274199427401802,-3.62,0.36,-1.6930322838015428,-2.6915511146772104
180,2014-12-31,-3.2484266084036477,2.03,-5.278426608403647,2.93,-2.64,3.0334835348726727,-1.2513077129704158
181,2015-01-31,2.7149756757955004,2.0,0.7149756757955004,4.64,-4.79,5.368586758067508,2.3111436356488326
182,2015-02-28,2.4982241301939183,1.99,0.5082241301939183,7.55,3.66,3.960891522359745,0.2160221343291937
183,2015-03-31,3.068786698809319,1.74,1.328786698809319,5.76,0.72,3.305173185669304,2.154002439383163
184,2015-04-30,4.504463735628946,1.74,2.7644637356289454,1.28,0.92,2.3823208315315014,-2.2663798934660804
185,2015-05-31,-0.13905146238894872,1.74,-1.8790514623889487,5.94,-4.86,3.810242534194572,-1.8207972745095589
186,2015-06-30,-0.9676105060326705,1.5,-2.4676105060326705,3.17,-1.75,7.517095720240363,-1.2471177547483734
187,2015-07-31,-1.8123900746676753,1.5,-3.3123900746676753,2.28,-1.03,-5.825029353920584,-1.32745016091215
188,2015-08-31,-3.864166987150739,1.52,-5.3841669871507385,-2.18,-0.12,-2.849486715772869,-1.1087349580333807
189,2015-09-30,1.6518478915867405,1.49,0.1618478915867405,2.85,2.6,-2.47079420412895,-2.5917118465537357
190,2015-10-31,3.4472439426392043,1.5,1.9472439426392043,0.43,-0.97,0.9047258274565877,-3.879285021292219
191,2015-11-30,-1.4214417828509482,1.5,-2.9214417828509482,-0.42,-1.22,5.148917326707462,-0.9370900027488744
192,2015-12-31,12.344144050512611,1.52,10.824144050512611,1.58,0.68,-35.11189306831008,2.6443476427393904
193,2016-01-31,-3.5675719369480277,1.5,-5.067571936948028,-1.1,-3.31,2.500937813353133,0.7280348374586509
194,2016-02-29,-2.7773246620531467,1.52,-4.297324662053146,0.7,7.41,0.1875745225870986,-3.599194689325458
195,2016-03-31,5.7487135939340135,1.53,4.218713593934013,3.01,2.25,-2.5468137077573516,-2.341070536018492
196,2016-04-30,-9.491311385339046,1.5,-10.991311385339046,4.33,-0.18,22.95740950192139,0.15361981789217793
197,2016-05-31,-0.605050951324543,1.48,-2.085050951324543,0.86,-3.16,2.2462613734555674,-0.6535939068069752
198,2016-06-30,0.13840891854950144,1.23,-1.0915910814504985,0.27,-1.38,1.9642435875622937,-3.828948735799031
